epochs,train_loss,valid_loss,train_acc,valid_acc,time
1,0.306286,0.23569884872880903,0.9055789890385901,0.9294714197910264,235.43199467658997
2,0.2860989,0.23142013640494224,0.91284109368388,0.9313153042409342,233.2712435722351
3,0.28262696,0.22688728893497223,0.914069645221617,0.9335049170251998,233.72128582000732
4,0.27789775,0.22367249069053505,0.915270895614071,0.9328902888752305,232.1472442150116
5,0.2727824,0.21311087426540717,0.9160080265367132,0.9373079287031346,231.99694514274597
6,0.26733083,0.2215798813329108,0.9179191067065263,0.9347341733251383,232.58154463768005
7,0.26268688,0.2170581062391849,0.9194889225603015,0.9364628149969269,232.20934176445007
8,0.2616348,0.23553129636793552,0.9200622466112454,0.9312768899815611,232.1360673904419
9,0.26066175,0.21939239844151243,0.9198711385942641,0.9351183159188691,232.0784695148468
10,0.25816572,0.22125018467206772,0.9214409544480391,0.9358481868469576,234.89412569999695
